cell_id,region_group,center_lat,center_lon,cell_size_km,geojson_file,kelpwatch_csv_file,time_variable,selection_rule,final_filter_after_kelpwatch
cell_001,Northern California,39.525053,-124.017028,10,cell_001.geojson,kelpwatch_cell_001.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_002,Northern California,39.52881,-123.900726,10,cell_002.geojson,kelpwatch_cell_002.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_003,Northern California,39.532457,-123.784412,10,cell_003.geojson,kelpwatch_cell_003.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_004,Northern California,39.535993,-123.668087,10,cell_004.geojson,kelpwatch_cell_004.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_005,Northern California,39.435143,-124.012104,10,cell_005.geojson,kelpwatch_cell_005.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_006,Northern California,39.438895,-123.895944,10,cell_006.geojson,kelpwatch_cell_006.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_007,Northern California,39.442536,-123.779772,10,cell_007.geojson,kelpwatch_cell_007.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_008,Northern California,39.446068,-123.663589,10,cell_008.geojson,kelpwatch_cell_008.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_009,Northern California,39.345236,-124.007192,10,cell_009.geojson,kelpwatch_cell_009.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_010,Northern California,39.348983,-123.891174,10,cell_010.geojson,kelpwatch_cell_010.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_011,Northern California,39.35262,-123.775144,10,cell_011.geojson,kelpwatch_cell_011.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_012,Northern California,39.356147,-123.659103,10,cell_012.geojson,kelpwatch_cell_012.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_013,Northern California,39.255332,-124.002291,10,cell_013.geojson,kelpwatch_cell_013.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_014,Northern California,39.259075,-123.886415,10,cell_014.geojson,kelpwatch_cell_014.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_015,Northern California,39.262707,-123.770527,10,cell_015.geojson,kelpwatch_cell_015.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_016,Northern California,39.26623,-123.654627,10,cell_016.geojson,kelpwatch_cell_016.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_017,Northern California,39.165432,-123.997403,10,cell_017.geojson,kelpwatch_cell_017.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_018,Northern California,39.16917,-123.881668,10,cell_018.geojson,kelpwatch_cell_018.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_019,Northern California,39.172798,-123.765921,10,cell_019.geojson,kelpwatch_cell_019.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_020,Northern California,39.176316,-123.650163,10,cell_020.geojson,kelpwatch_cell_020.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_021,Northern California,39.179725,-123.534393,10,cell_021.geojson,kelpwatch_cell_021.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_022,Northern California,39.079269,-123.876932,10,cell_022.geojson,kelpwatch_cell_022.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_023,Northern California,39.082892,-123.761326,10,cell_023.geojson,kelpwatch_cell_023.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_024,Northern California,39.086406,-123.645709,10,cell_024.geojson,kelpwatch_cell_024.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_025,Northern California,39.08981,-123.530081,10,cell_025.geojson,kelpwatch_cell_025.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_026,Northern California,38.98937,-123.872208,10,cell_026.geojson,kelpwatch_cell_026.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_027,Northern California,38.992989,-123.756743,10,cell_027.geojson,kelpwatch_cell_027.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_028,Northern California,38.996498,-123.641266,10,cell_028.geojson,kelpwatch_cell_028.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_029,Northern California,38.999898,-123.525778,10,cell_029.geojson,kelpwatch_cell_029.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_030,Northern California,38.899474,-123.867496,10,cell_030.geojson,kelpwatch_cell_030.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_031,Northern California,38.903088,-123.75217,10,cell_031.geojson,kelpwatch_cell_031.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_032,Northern California,38.906593,-123.636834,10,cell_032.geojson,kelpwatch_cell_032.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_033,Northern California,38.909989,-123.521487,10,cell_033.geojson,kelpwatch_cell_033.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_034,Northern California,38.913275,-123.406129,10,cell_034.geojson,kelpwatch_cell_034.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_035,Northern California,38.80958,-123.862794,10,cell_035.geojson,kelpwatch_cell_035.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_036,Northern California,38.81319,-123.747609,10,cell_036.geojson,kelpwatch_cell_036.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_037,Northern California,38.816691,-123.632413,10,cell_037.geojson,kelpwatch_cell_037.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_038,Northern California,38.820083,-123.517205,10,cell_038.geojson,kelpwatch_cell_038.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_039,Northern California,38.823365,-123.401988,10,cell_039.geojson,kelpwatch_cell_039.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_040,Northern California,38.723295,-123.743059,10,cell_040.geojson,kelpwatch_cell_040.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_041,Northern California,38.726791,-123.628002,10,cell_041.geojson,kelpwatch_cell_041.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_042,Northern California,38.730178,-123.512935,10,cell_042.geojson,kelpwatch_cell_042.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_043,Northern California,38.733456,-123.397857,10,cell_043.geojson,kelpwatch_cell_043.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_044,Northern California,38.736625,-123.282769,10,cell_044.geojson,kelpwatch_cell_044.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_045,Northern California,38.633401,-123.73852,10,cell_045.geojson,kelpwatch_cell_045.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_046,Northern California,38.636893,-123.623602,10,cell_046.geojson,kelpwatch_cell_046.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_047,Northern California,38.640276,-123.508674,10,cell_047.geojson,kelpwatch_cell_047.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_048,Northern California,38.64355,-123.393735,10,cell_048.geojson,kelpwatch_cell_048.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_049,Northern California,38.646715,-123.278787,10,cell_049.geojson,kelpwatch_cell_049.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_050,Northern California,38.649771,-123.163829,10,cell_050.geojson,kelpwatch_cell_050.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_051,Northern California,38.546996,-123.619213,10,cell_051.geojson,kelpwatch_cell_051.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_052,Northern California,38.550375,-123.504424,10,cell_052.geojson,kelpwatch_cell_052.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_053,Northern California,38.553645,-123.389624,10,cell_053.geojson,kelpwatch_cell_053.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_054,Northern California,38.556807,-123.274815,10,cell_054.geojson,kelpwatch_cell_054.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_055,Northern California,38.559859,-123.159995,10,cell_055.geojson,kelpwatch_cell_055.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_056,Northern California,38.562802,-123.045167,10,cell_056.geojson,kelpwatch_cell_056.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_057,Northern California,38.460476,-123.500184,10,cell_057.geojson,kelpwatch_cell_057.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_058,Northern California,38.463742,-123.385523,10,cell_058.geojson,kelpwatch_cell_058.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_059,Northern California,38.4669,-123.270852,10,cell_059.geojson,kelpwatch_cell_059.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_060,Northern California,38.469948,-123.156172,10,cell_060.geojson,kelpwatch_cell_060.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_061,Northern California,38.472888,-123.041482,10,cell_061.geojson,kelpwatch_cell_061.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_062,Northern California,38.373841,-123.381431,10,cell_062.geojson,kelpwatch_cell_062.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_063,Northern California,38.376994,-123.266899,10,cell_063.geojson,kelpwatch_cell_063.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_064,Northern California,38.380039,-123.152357,10,cell_064.geojson,kelpwatch_cell_064.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_065,Northern California,38.382975,-123.037806,10,cell_065.geojson,kelpwatch_cell_065.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_066,Northern California,38.385803,-122.923246,10,cell_066.geojson,kelpwatch_cell_066.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_067,Northern California,38.28394,-123.37735,10,cell_067.geojson,kelpwatch_cell_067.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_068,Northern California,38.28709,-123.262955,10,cell_068.geojson,kelpwatch_cell_068.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_069,Northern California,38.290131,-123.148551,10,cell_069.geojson,kelpwatch_cell_069.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_070,Northern California,38.293063,-123.034138,10,cell_070.geojson,kelpwatch_cell_070.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_071,Northern California,38.295888,-122.919716,10,cell_071.geojson,kelpwatch_cell_071.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_072,Northern California,38.197186,-123.259021,10,cell_072.geojson,kelpwatch_cell_072.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_073,Northern California,38.200224,-123.144755,10,cell_073.geojson,kelpwatch_cell_073.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_074,Northern California,38.203153,-123.03048,10,cell_074.geojson,kelpwatch_cell_074.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_075,Northern California,38.205973,-122.916196,10,cell_075.geojson,kelpwatch_cell_075.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_076,Northern California,38.208686,-122.801903,10,cell_076.geojson,kelpwatch_cell_076.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_077,Northern California,38.110317,-123.140968,10,cell_077.geojson,kelpwatch_cell_077.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_078,Northern California,38.113243,-123.02683,10,cell_078.geojson,kelpwatch_cell_078.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_079,Northern California,38.11606,-122.912683,10,cell_079.geojson,kelpwatch_cell_079.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_080,Northern California,38.118769,-122.798528,10,cell_080.geojson,kelpwatch_cell_080.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_081,Northern California,38.020411,-123.13719,10,cell_081.geojson,kelpwatch_cell_081.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_082,Northern California,38.023333,-123.023189,10,cell_082.geojson,kelpwatch_cell_082.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_083,Northern California,38.026147,-122.909179,10,cell_083.geojson,kelpwatch_cell_083.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_084,Northern California,38.028853,-122.795161,10,cell_084.geojson,kelpwatch_cell_084.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_085,Northern California,38.03145,-122.681135,10,cell_085.geojson,kelpwatch_cell_085.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_086,Northern California,37.930505,-123.133421,10,cell_086.geojson,kelpwatch_cell_086.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_087,Northern California,37.933424,-123.019557,10,cell_087.geojson,kelpwatch_cell_087.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_088,Northern California,37.936234,-122.905684,10,cell_088.geojson,kelpwatch_cell_088.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_089,Northern California,37.938937,-122.791803,10,cell_089.geojson,kelpwatch_cell_089.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_090,Northern California,37.941531,-122.677914,10,cell_090.geojson,kelpwatch_cell_090.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_091,Northern California,37.843515,-123.015933,10,cell_091.geojson,kelpwatch_cell_091.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_092,Northern California,37.846322,-122.902197,10,cell_092.geojson,kelpwatch_cell_092.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_093,Northern California,37.849021,-122.788452,10,cell_093.geojson,kelpwatch_cell_093.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_094,Northern California,37.851612,-122.6747,10,cell_094.geojson,kelpwatch_cell_094.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
