target,feature_set,model_family,model_variant,model,split,n_observations,n_positive_events,event_prevalence,precision,recall,f1,f2,pr_auc,roc_auc,accuracy,false_positives,false_negatives,true_positives,true_negatives
actionable_decline_low_next,environment_only,Logistic Regression,unweighted,Logistic Regression (unweighted),test,200,45,0.225,0.23076923076923078,0.2,0.21428571428571427,0.2054794520547945,0.2663149788872774,0.6299641577060932,0.67,30,36,9,125
actionable_decline_low_next,environment_only,Logistic Regression,cost_sensitive,Logistic Regression (cost_sensitive),test,200,45,0.225,0.3007518796992481,0.8888888888888888,0.449438202247191,0.6389776357827476,0.26642783926250335,0.628673835125448,0.51,93,5,40,62
actionable_decline_low_next,environment_only,SVM,unweighted,SVM (unweighted),test,200,45,0.225,0.0,0.0,0.0,0.0,0.23051066858238847,0.5539784946236559,0.71,13,45,0,142
actionable_decline_low_next,environment_only,SVM,cost_sensitive,SVM (cost_sensitive),test,200,45,0.225,0.0,0.0,0.0,0.0,0.3322089117838926,0.6305376344086021,0.775,0,45,0,155
actionable_decline_low_next,environment_only,Random Forest,unweighted,Random Forest (unweighted),test,200,45,0.225,0.0,0.0,0.0,0.0,0.22300687786710066,0.45211469534050186,0.775,0,45,0,155
actionable_decline_low_next,environment_only,Random Forest,cost_sensitive,Random Forest (cost_sensitive),test,200,45,0.225,0.0,0.0,0.0,0.0,0.28790074903229207,0.5370609318996415,0.775,0,45,0,155
actionable_decline_low_next,environment_only,XGBoost,unweighted,XGBoost (unweighted),test,200,45,0.225,0.0,0.0,0.0,0.0,0.25066749143313405,0.5326881720430108,0.745,6,45,0,149
actionable_decline_low_next,environment_only,XGBoost,cost_sensitive,XGBoost (cost_sensitive),test,200,45,0.225,0.18181818181818182,0.08888888888888889,0.11940298507462686,0.09900990099009901,0.2619108716537911,0.5767025089605735,0.705,18,41,4,137
actionable_decline_low_next,environment_only,LightGBM,unweighted,LightGBM (unweighted),test,200,45,0.225,0.0,0.0,0.0,0.0,0.20581357295582847,0.47275985663082437,0.775,0,45,0,155
actionable_decline_low_next,environment_only,LightGBM,cost_sensitive,LightGBM (cost_sensitive),test,200,45,0.225,0.0,0.0,0.0,0.0,0.2110390674042254,0.48451612903225805,0.685,18,45,0,137
actionable_decline_low_next,canopy_plus_environment,Logistic Regression,unweighted,Logistic Regression (unweighted),test,200,45,0.225,0.375,0.06666666666666667,0.11320754716981132,0.0797872340425532,0.34274800394382116,0.6934767025089605,0.765,5,42,3,150
actionable_decline_low_next,canopy_plus_environment,Logistic Regression,cost_sensitive,Logistic Regression (cost_sensitive),test,200,45,0.225,0.32926829268292684,0.6,0.4251968503937008,0.5152671755725191,0.3727652783486291,0.7066666666666667,0.635,55,18,27,100
actionable_decline_low_next,canopy_plus_environment,SVM,unweighted,SVM (unweighted),test,200,45,0.225,0.0,0.0,0.0,0.0,0.24793109886159115,0.5802150537634408,0.71,13,45,0,142
actionable_decline_low_next,canopy_plus_environment,SVM,cost_sensitive,SVM (cost_sensitive),test,200,45,0.225,0.0,0.0,0.0,0.0,0.38559079864409257,0.6808602150537635,0.77,1,45,0,154
actionable_decline_low_next,canopy_plus_environment,Random Forest,unweighted,Random Forest (unweighted),test,200,45,0.225,0.0,0.0,0.0,0.0,0.4418449172465721,0.7799283154121864,0.775,0,45,0,155
actionable_decline_low_next,canopy_plus_environment,Random Forest,cost_sensitive,Random Forest (cost_sensitive),test,200,45,0.225,1.0,0.022222222222222223,0.043478260869565216,0.027624309392265192,0.49038865971751733,0.8265232974910394,0.78,0,44,1,155
actionable_decline_low_next,canopy_plus_environment,XGBoost,unweighted,XGBoost (unweighted),test,200,45,0.225,0.5714285714285714,0.08888888888888889,0.15384615384615385,0.10695187165775401,0.4995684713116378,0.8443010752688171,0.78,3,41,4,152
actionable_decline_low_next,canopy_plus_environment,XGBoost,cost_sensitive,XGBoost (cost_sensitive),test,200,45,0.225,0.7058823529411765,0.26666666666666666,0.3870967741935484,0.30456852791878175,0.578320077437926,0.8771326164874552,0.81,5,33,12,150
actionable_decline_low_next,canopy_plus_environment,LightGBM,unweighted,LightGBM (unweighted),test,200,45,0.225,0.4444444444444444,0.08888888888888889,0.14814814814814814,0.10582010582010581,0.5565157824921009,0.8731182795698924,0.77,5,41,4,150
actionable_decline_low_next,canopy_plus_environment,LightGBM,cost_sensitive,LightGBM (cost_sensitive),test,200,45,0.225,0.5,0.13333333333333333,0.21052631578947367,0.15625,0.513619380465586,0.852616487455197,0.775,6,39,6,149
actionable_decline_low_next,canopy_plus_trajectory_plus_environment,Logistic Regression,unweighted,Logistic Regression (unweighted),test,200,45,0.225,0.4166666666666667,0.1111111111111111,0.17543859649122806,0.13020833333333334,0.3345339753739919,0.6854480286738351,0.765,7,40,5,148
actionable_decline_low_next,canopy_plus_trajectory_plus_environment,Logistic Regression,cost_sensitive,Logistic Regression (cost_sensitive),test,200,45,0.225,0.3333333333333333,0.6,0.42857142857142855,0.5172413793103449,0.36128040112995713,0.7142652329749104,0.64,54,18,27,101
actionable_decline_low_next,canopy_plus_trajectory_plus_environment,SVM,unweighted,SVM (unweighted),test,200,45,0.225,1.0,0.06666666666666667,0.125,0.08196721311475409,0.35298426730711685,0.6576344086021505,0.79,0,42,3,155
actionable_decline_low_next,canopy_plus_trajectory_plus_environment,SVM,cost_sensitive,SVM (cost_sensitive),test,200,45,0.225,1.0,0.022222222222222223,0.043478260869565216,0.027624309392265192,0.5582409393413572,0.7823655913978494,0.78,0,44,1,155
actionable_decline_low_next,canopy_plus_trajectory_plus_environment,Random Forest,unweighted,Random Forest (unweighted),test,200,45,0.225,0.0,0.0,0.0,0.0,0.42714452300475286,0.7906810035842293,0.775,0,45,0,155
actionable_decline_low_next,canopy_plus_trajectory_plus_environment,Random Forest,cost_sensitive,Random Forest (cost_sensitive),test,200,45,0.225,1.0,0.022222222222222223,0.043478260869565216,0.027624309392265192,0.46480025597688307,0.8226523297491038,0.78,0,44,1,155
actionable_decline_low_next,canopy_plus_trajectory_plus_environment,XGBoost,unweighted,XGBoost (unweighted),test,200,45,0.225,0.42857142857142855,0.06666666666666667,0.11538461538461539,0.08021390374331551,0.49165685773515666,0.8438709677419356,0.77,4,42,3,151
actionable_decline_low_next,canopy_plus_trajectory_plus_environment,XGBoost,cost_sensitive,XGBoost (cost_sensitive),test,200,45,0.225,0.6,0.26666666666666666,0.36923076923076925,0.3,0.5575147443182276,0.875268817204301,0.795,8,33,12,147
actionable_decline_low_next,canopy_plus_trajectory_plus_environment,LightGBM,unweighted,LightGBM (unweighted),test,200,45,0.225,0.42857142857142855,0.06666666666666667,0.11538461538461539,0.08021390374331551,0.545331942617806,0.8620788530465949,0.77,4,42,3,151
actionable_decline_low_next,canopy_plus_trajectory_plus_environment,LightGBM,cost_sensitive,LightGBM (cost_sensitive),test,200,45,0.225,0.5625,0.2,0.29508196721311475,0.22959183673469388,0.5140773866332774,0.8619354838709677,0.785,7,36,9,148
actionable_decline_drop_next,canopy_current_only,Logistic Regression,unweighted,Logistic Regression (unweighted),test,200,34,0.17,0.8,0.11764705882352941,0.20512820512820512,0.14184397163120568,0.5665323022566026,0.8644578313253012,0.845,1,30,4,165
actionable_decline_drop_next,canopy_current_only,Logistic Regression,cost_sensitive,Logistic Regression (cost_sensitive),test,200,34,0.17,0.5555555555555556,0.4411764705882353,0.4918032786885246,0.4601226993865031,0.5787946996161872,0.8740255138199858,0.845,12,19,15,154
actionable_decline_drop_next,canopy_current_only,SVM,unweighted,SVM (unweighted),test,200,34,0.17,0.5,0.029411764705882353,0.05555555555555555,0.036231884057971016,0.5148902569927997,0.8405386250885896,0.83,1,33,1,165
actionable_decline_drop_next,canopy_current_only,SVM,cost_sensitive,SVM (cost_sensitive),test,200,34,0.17,0.5555555555555556,0.29411764705882354,0.38461538461538464,0.3246753246753247,0.5498321986978112,0.8944011339475548,0.84,8,24,10,158
actionable_decline_drop_next,canopy_current_only,Random Forest,unweighted,Random Forest (unweighted),test,200,34,0.17,0.4666666666666667,0.20588235294117646,0.2857142857142857,0.23178807947019867,0.506462523417956,0.8641034727143869,0.825,8,27,7,158
actionable_decline_drop_next,canopy_current_only,Random Forest,cost_sensitive,Random Forest (cost_sensitive),test,200,34,0.17,0.5714285714285714,0.47058823529411764,0.5161290322580645,0.4878048780487805,0.5158191310592029,0.8681785967399007,0.85,12,18,16,154
actionable_decline_drop_next,canopy_current_only,XGBoost,unweighted,XGBoost (unweighted),test,200,34,0.17,0.6363636363636364,0.20588235294117646,0.3111111111111111,0.23809523809523808,0.5589630686064317,0.8793408929836994,0.845,4,27,7,162
actionable_decline_drop_next,canopy_current_only,XGBoost,cost_sensitive,XGBoost (cost_sensitive),test,200,34,0.17,0.4883720930232558,0.6176470588235294,0.5454545454545454,0.5865921787709497,0.5598051354406194,0.8802267895109851,0.825,22,13,21,144
actionable_decline_drop_next,canopy_current_only,LightGBM,unweighted,LightGBM (unweighted),test,200,34,0.17,0.5333333333333333,0.23529411764705882,0.32653061224489793,0.26490066225165565,0.5268211106513659,0.8860737065910702,0.835,7,26,8,159
actionable_decline_drop_next,canopy_current_only,LightGBM,cost_sensitive,LightGBM (cost_sensitive),test,200,34,0.17,0.5428571428571428,0.5588235294117647,0.5507246376811594,0.5555555555555556,0.5283369259106409,0.8793408929836994,0.845,16,15,19,150
actionable_decline_drop_next,canopy_trajectory_only,Logistic Regression,unweighted,Logistic Regression (unweighted),test,200,34,0.17,0.5294117647058824,0.2647058823529412,0.35294117647058826,0.29411764705882354,0.5143674892501822,0.8614457831325302,0.835,8,25,9,158
actionable_decline_drop_next,canopy_trajectory_only,Logistic Regression,cost_sensitive,Logistic Regression (cost_sensitive),test,200,34,0.17,0.4166666666666667,0.7352941176470589,0.5319148936170213,0.6377551020408163,0.5324700492247135,0.8662296243798726,0.78,35,9,25,131
actionable_decline_drop_next,canopy_trajectory_only,SVM,unweighted,SVM (unweighted),test,200,34,0.17,0.5714285714285714,0.23529411764705882,0.3333333333333333,0.26666666666666666,0.4900244652114439,0.8208717221828491,0.84,6,26,8,160
actionable_decline_drop_next,canopy_trajectory_only,SVM,cost_sensitive,SVM (cost_sensitive),test,200,34,0.17,0.5909090909090909,0.38235294117647056,0.4642857142857143,0.41139240506329117,0.5464576958717559,0.9135364989369241,0.85,9,21,13,157
actionable_decline_drop_next,canopy_trajectory_only,Random Forest,unweighted,Random Forest (unweighted),test,200,34,0.17,0.47619047619047616,0.29411764705882354,0.36363636363636365,0.3184713375796178,0.4862424786179389,0.8892629340892984,0.825,11,24,10,155
actionable_decline_drop_next,canopy_trajectory_only,Random Forest,cost_sensitive,Random Forest (cost_sensitive),test,200,34,0.17,0.5483870967741935,0.5,0.5230769230769231,0.5089820359281437,0.4840117733080434,0.8912119064493267,0.845,14,17,17,152
actionable_decline_drop_next,canopy_trajectory_only,XGBoost,unweighted,XGBoost (unweighted),test,200,34,0.17,0.5909090909090909,0.38235294117647056,0.4642857142857143,0.41139240506329117,0.49528692731551616,0.8974131821403261,0.85,9,21,13,157
actionable_decline_drop_next,canopy_trajectory_only,XGBoost,cost_sensitive,XGBoost (cost_sensitive),test,200,34,0.17,0.52,0.7647058823529411,0.6190476190476191,0.6989247311827957,0.4956241861533288,0.8977675407512402,0.84,24,8,26,142
actionable_decline_drop_next,canopy_trajectory_only,LightGBM,unweighted,LightGBM (unweighted),test,200,34,0.17,0.5,0.38235294117647056,0.43333333333333335,0.4012345679012346,0.4758618052405449,0.884301913536499,0.83,13,21,13,153
actionable_decline_drop_next,canopy_trajectory_only,LightGBM,cost_sensitive,LightGBM (cost_sensitive),test,200,34,0.17,0.475,0.5588235294117647,0.5135135135135135,0.5397727272727273,0.4910127815764596,0.8846562721474132,0.82,21,15,19,145
actionable_decline_drop_next,canopy_current_plus_trajectory,Logistic Regression,unweighted,Logistic Regression (unweighted),test,200,34,0.17,0.6923076923076923,0.2647058823529412,0.3829787234042553,0.30201342281879195,0.5722230832954233,0.8811126860382708,0.855,4,25,9,162
actionable_decline_drop_next,canopy_current_plus_trajectory,Logistic Regression,cost_sensitive,Logistic Regression (cost_sensitive),test,200,34,0.17,0.5384615384615384,0.6176470588235294,0.5753424657534246,0.6,0.5820185336745173,0.8858965272856131,0.845,18,13,21,148
actionable_decline_drop_next,canopy_current_plus_trajectory,SVM,unweighted,SVM (unweighted),test,200,34,0.17,0.5384615384615384,0.20588235294117646,0.2978723404255319,0.2348993288590604,0.48957920436798585,0.8398299078667611,0.835,6,27,7,160
actionable_decline_drop_next,canopy_current_plus_trajectory,SVM,cost_sensitive,SVM (cost_sensitive),test,200,34,0.17,0.5,0.2647058823529412,0.34615384615384615,0.2922077922077922,0.5768363120184818,0.9183203401842664,0.83,9,25,9,157
actionable_decline_drop_next,canopy_current_plus_trajectory,Random Forest,unweighted,Random Forest (unweighted),test,200,34,0.17,0.5555555555555556,0.29411764705882354,0.38461538461538464,0.3246753246753247,0.5532913814066795,0.8974131821403261,0.84,8,24,10,158
actionable_decline_drop_next,canopy_current_plus_trajectory,Random Forest,cost_sensitive,Random Forest (cost_sensitive),test,200,34,0.17,0.4666666666666667,0.4117647058823529,0.4375,0.42168674698795183,0.5525494123019221,0.8951098511693835,0.82,16,20,14,150
actionable_decline_drop_next,canopy_current_plus_trajectory,XGBoost,unweighted,XGBoost (unweighted),test,200,34,0.17,0.5,0.29411764705882354,0.37037037037037035,0.32051282051282054,0.5149497348426402,0.892983699503898,0.83,10,24,10,156
actionable_decline_drop_next,canopy_current_plus_trajectory,XGBoost,cost_sensitive,XGBoost (cost_sensitive),test,200,34,0.17,0.48936170212765956,0.6764705882352942,0.5679012345679012,0.6284153005464481,0.5271438352752214,0.8933380581148122,0.825,24,11,23,142
actionable_decline_drop_next,canopy_current_plus_trajectory,LightGBM,unweighted,LightGBM (unweighted),test,200,34,0.17,0.4583333333333333,0.3235294117647059,0.3793103448275862,0.34375,0.49188028035541176,0.8878454996456414,0.82,13,23,11,153
actionable_decline_drop_next,canopy_current_plus_trajectory,LightGBM,cost_sensitive,LightGBM (cost_sensitive),test,200,34,0.17,0.42105263157894735,0.47058823529411764,0.4444444444444444,0.45977011494252873,0.5292443273238214,0.8876683203401843,0.8,22,18,16,144
actionable_decline_drop_next,environment_only,Logistic Regression,unweighted,Logistic Regression (unweighted),test,200,34,0.17,0.2222222222222222,0.35294117647058826,0.2727272727272727,0.3157894736842105,0.23414011329621448,0.6906449326718639,0.68,42,22,12,124
actionable_decline_drop_next,environment_only,Logistic Regression,cost_sensitive,Logistic Regression (cost_sensitive),test,200,34,0.17,0.2786885245901639,1.0,0.4358974358974359,0.6589147286821705,0.23686652357953983,0.6959603118355776,0.56,88,0,34,78
actionable_decline_drop_next,environment_only,SVM,unweighted,SVM (unweighted),test,200,34,0.17,0.03333333333333333,0.029411764705882353,0.03125,0.030120481927710843,0.14845492145100972,0.4544649184975195,0.69,29,33,1,137
actionable_decline_drop_next,environment_only,SVM,cost_sensitive,SVM (cost_sensitive),test,200,34,0.17,0.0,0.0,0.0,0.0,0.25448190108530966,0.7140326009922041,0.78,10,34,0,156
actionable_decline_drop_next,environment_only,Random Forest,unweighted,Random Forest (unweighted),test,200,34,0.17,0.0,0.0,0.0,0.0,0.1597698823147759,0.5017717930545713,0.665,33,34,0,133
actionable_decline_drop_next,environment_only,Random Forest,cost_sensitive,Random Forest (cost_sensitive),test,200,34,0.17,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.18046596160784217,0.5721119773210489,0.68,32,32,2,134
actionable_decline_drop_next,environment_only,XGBoost,unweighted,XGBoost (unweighted),test,200,34,0.17,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.13823765387217346,0.4080439404677534,0.67,33,33,1,133
actionable_decline_drop_next,environment_only,XGBoost,cost_sensitive,XGBoost (cost_sensitive),test,200,34,0.17,0.05555555555555555,0.11764705882352941,0.07547169811320754,0.09615384615384616,0.13695790810485292,0.4020198440822112,0.51,68,30,4,98
actionable_decline_drop_next,environment_only,LightGBM,unweighted,LightGBM (unweighted),test,200,34,0.17,0.06976744186046512,0.08823529411764706,0.07792207792207792,0.08379888268156424,0.16315118580861793,0.510099220411056,0.645,40,31,3,126
actionable_decline_drop_next,environment_only,LightGBM,cost_sensitive,LightGBM (cost_sensitive),test,200,34,0.17,0.0784313725490196,0.11764705882352941,0.09411764705882353,0.10695187165775401,0.15052486866550846,0.4654500354358611,0.615,47,30,4,119
actionable_decline_drop_next,canopy_plus_environment,Logistic Regression,unweighted,Logistic Regression (unweighted),test,200,34,0.17,0.46153846153846156,0.17647058823529413,0.2553191489361702,0.20134228187919462,0.4091360253978034,0.8051027639971651,0.825,7,28,6,159
actionable_decline_drop_next,canopy_plus_environment,Logistic Regression,cost_sensitive,Logistic Regression (cost_sensitive),test,200,34,0.17,0.4186046511627907,0.5294117647058824,0.4675324675324675,0.5027932960893855,0.45840969219597444,0.8306165839829909,0.795,25,16,18,141
actionable_decline_drop_next,canopy_plus_environment,SVM,unweighted,SVM (unweighted),test,200,34,0.17,0.06666666666666667,0.029411764705882353,0.04081632653061224,0.033112582781456956,0.22601082467057254,0.6784195605953225,0.765,14,33,1,152
actionable_decline_drop_next,canopy_plus_environment,SVM,cost_sensitive,SVM (cost_sensitive),test,200,34,0.17,0.45454545454545453,0.14705882352941177,0.2222222222222222,0.17006802721088435,0.387524631017895,0.818036853295535,0.825,6,29,5,160
actionable_decline_drop_next,canopy_plus_environment,Random Forest,unweighted,Random Forest (unweighted),test,200,34,0.17,0.06666666666666667,0.029411764705882353,0.04081632653061224,0.033112582781456956,0.28895052928895076,0.7740963855421688,0.765,14,33,1,152
actionable_decline_drop_next,canopy_plus_environment,Random Forest,cost_sensitive,Random Forest (cost_sensitive),test,200,34,0.17,0.20689655172413793,0.17647058823529413,0.19047619047619047,0.18181818181818182,0.31687335523573545,0.8051027639971651,0.745,23,28,6,143
actionable_decline_drop_next,canopy_plus_environment,XGBoost,unweighted,XGBoost (unweighted),test,200,34,0.17,0.08,0.058823529411764705,0.06779661016949153,0.062111801242236024,0.26648395962577187,0.7484053862508859,0.725,23,32,2,143
actionable_decline_drop_next,canopy_plus_environment,XGBoost,cost_sensitive,XGBoost (cost_sensitive),test,200,34,0.17,0.23809523809523808,0.29411764705882354,0.2631578947368421,0.2808988764044944,0.27528917148317117,0.7602763997165132,0.72,32,24,10,134
actionable_decline_drop_next,canopy_plus_environment,LightGBM,unweighted,LightGBM (unweighted),test,200,34,0.17,0.125,0.11764705882352941,0.12121212121212122,0.11904761904761904,0.2816326132166803,0.7684266477675408,0.71,28,30,4,138
actionable_decline_drop_next,canopy_plus_environment,LightGBM,cost_sensitive,LightGBM (cost_sensitive),test,200,34,0.17,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.2730824084508152,0.7576187101346563,0.7,30,30,4,136
actionable_decline_drop_next,canopy_plus_trajectory_plus_environment,Logistic Regression,unweighted,Logistic Regression (unweighted),test,200,34,0.17,0.36363636363636365,0.35294117647058826,0.3582089552238806,0.35502958579881655,0.3631297337267243,0.8084691708008503,0.785,21,22,12,145
actionable_decline_drop_next,canopy_plus_trajectory_plus_environment,Logistic Regression,cost_sensitive,Logistic Regression (cost_sensitive),test,200,34,0.17,0.3898305084745763,0.6764705882352942,0.4946236559139785,0.5897435897435898,0.4070383549102525,0.8311481218993622,0.765,36,11,23,130
actionable_decline_drop_next,canopy_plus_trajectory_plus_environment,SVM,unweighted,SVM (unweighted),test,200,34,0.17,0.2222222222222222,0.17647058823529413,0.19672131147540983,0.18404907975460122,0.312332073987845,0.757264351523742,0.755,21,28,6,145
actionable_decline_drop_next,canopy_plus_trajectory_plus_environment,SVM,cost_sensitive,SVM (cost_sensitive),test,200,34,0.17,0.47619047619047616,0.29411764705882354,0.36363636363636365,0.3184713375796178,0.4800954933756362,0.8623316796598157,0.825,11,24,10,155
actionable_decline_drop_next,canopy_plus_trajectory_plus_environment,Random Forest,unweighted,Random Forest (unweighted),test,200,34,0.17,0.3333333333333333,0.17647058823529413,0.23076923076923078,0.19480519480519481,0.37246430055334667,0.8405386250885897,0.8,12,28,6,154
actionable_decline_drop_next,canopy_plus_trajectory_plus_environment,Random Forest,cost_sensitive,Random Forest (cost_sensitive),test,200,34,0.17,0.3181818181818182,0.20588235294117646,0.25,0.22151898734177214,0.4017578020814482,0.864280652019844,0.79,15,27,7,151
actionable_decline_drop_next,canopy_plus_trajectory_plus_environment,XGBoost,unweighted,XGBoost (unweighted),test,200,34,0.17,0.13043478260869565,0.08823529411764706,0.10526315789473684,0.09433962264150944,0.32342863876294675,0.8031537916371367,0.745,20,31,3,146
actionable_decline_drop_next,canopy_plus_trajectory_plus_environment,XGBoost,cost_sensitive,XGBoost (cost_sensitive),test,200,34,0.17,0.34210526315789475,0.38235294117647056,0.3611111111111111,0.3735632183908046,0.3301137360472799,0.8095322466335932,0.77,25,21,13,141
actionable_decline_drop_next,canopy_plus_trajectory_plus_environment,LightGBM,unweighted,LightGBM (unweighted),test,200,34,0.17,0.25,0.17647058823529413,0.20689655172413793,0.1875,0.3474737131253167,0.8288447909284196,0.77,18,28,6,148
actionable_decline_drop_next,canopy_plus_trajectory_plus_environment,LightGBM,cost_sensitive,LightGBM (cost_sensitive),test,200,34,0.17,0.34615384615384615,0.2647058823529412,0.3,0.2777777777777778,0.3765507577003457,0.843905031892275,0.79,17,25,9,149
