pr_auc,roc_auc,recall,precision,f1,balanced_accuracy,target_definition,feature_family,model,n_train,n_validation,n_test,positive_events_test,event_prevalence_test,decision_threshold,status
0.8933121498059012,0.7668475802804161,0.8582089552238806,0.732484076433121,0.7903780068728522,0.6109226594301221,original_decline,naive_persistence_baseline,current_low_canopy_score,1400,200,200,134,0.67,0.87053574,computed
0.8573500909620518,0.7486431478968792,0.835820895522388,0.7567567567567568,0.7943262411347518,0.6451831750339213,original_decline,canopy_only,Logistic Regression L2,1400,200,200,134,0.67,0.5065190842120211,computed
0.8787395038442156,0.769109000452284,0.7388059701492538,0.8181818181818182,0.7764705882352941,0.7027363184079602,original_decline,canopy_only,Random Forest,1400,200,200,134,0.67,0.42396840500400873,computed
0.7141019005558481,0.5197874265038445,0.291044776119403,0.6842105263157895,0.4083769633507853,0.5091587516960652,original_decline,oisst_only,Logistic Regression L2,1400,200,200,134,0.67,0.4802163524556896,computed
0.7058750048189284,0.5117593848937132,0.6119402985074627,0.656,0.6332046332046332,0.4802125734961556,original_decline,oisst_only,Random Forest,1400,200,200,134,0.67,0.31145835645835623,computed
0.8397285219111157,0.7686567164179103,0.8805970149253731,0.7763157894736842,0.8251748251748252,0.682722749886929,original_decline,habitat_only,Logistic Regression L2,1400,200,200,134,0.67,0.47332645858491923,computed
0.8891192822731233,0.8003165988240616,0.8208955223880597,0.8088235294117647,0.8148148148148148,0.7134780642243329,original_decline,habitat_only,Random Forest,1400,200,200,134,0.67,0.46928458800954276,computed
0.7537985448030259,0.5887607417458164,0.30597014925373134,0.7592592592592593,0.43617021276595747,0.5545002261420171,original_decline,oisst_plus_habitat,Logistic Regression L2,1400,200,200,134,0.67,0.47969011495292807,computed
0.7338696863679796,0.5162822252374492,0.3208955223880597,0.7413793103448276,0.4479166666666667,0.5468113975576662,original_decline,oisst_plus_habitat,Random Forest,1400,200,200,134,0.67,0.4962888534467481,computed
0.763716829089955,0.60119855269109,0.35074626865671643,0.734375,0.47474747474747475,0.5465852555404794,original_decline,canopy_plus_oisst_plus_habitat,Logistic Regression L2,1400,200,200,134,0.67,0.4728183457808079,computed
0.8312618102368174,0.6507236544549978,0.41044776119402987,0.859375,0.5555555555555556,0.6370420624151968,original_decline,canopy_plus_oisst_plus_habitat,Random Forest,1400,200,200,134,0.67,0.5190183982683982,computed
0.8518731025337603,0.7409543193125282,0.6194029850746269,0.7830188679245284,0.6916666666666667,0.6354590682948892,original_decline,crw_composite_only,Logistic Regression L2,1400,200,200,134,0.67,0.4968899323040072,computed
0.7245958397331405,0.49513794663048394,0.6268656716417911,0.6511627906976745,0.6387832699619772,0.4725237449118046,original_decline,crw_composite_only,Random Forest,1400,200,200,134,0.67,0.2526349206349207,computed
0.8697433697706358,0.7640208050655812,0.8432835820895522,0.7902097902097902,0.8158844765342961,0.6943690637720488,original_decline,crw_plus_habitat,Logistic Regression L2,1400,200,200,134,0.67,0.4105494885866077,computed
0.7261666283742682,0.5269109000452284,0.5671641791044776,0.6785714285714286,0.6178861788617886,0.510854816824966,original_decline,crw_plus_habitat,Random Forest,1400,200,200,134,0.67,0.33645514670514653,computed
0.8803628176687278,0.776797829036635,0.7686567164179104,0.8110236220472441,0.789272030651341,0.7025101763907734,original_decline,canopy_plus_crw_plus_habitat,Logistic Regression L2,1400,200,200,134,0.67,0.4639125152729168,computed
0.8321309487478493,0.6731117141564903,0.5074626865671642,0.8292682926829268,0.6296296296296297,0.647670737222976,original_decline,canopy_plus_crw_plus_habitat,Random Forest,1400,200,200,134,0.67,0.4484564324564323,computed
0.5727736042590641,0.5384259259259259,0.9777777777777777,0.4835164835164835,0.6470588235294118,0.49930555555555556,at_risk_original_gt005,naive_persistence_baseline,current_low_canopy_score,955,111,93,45,0.4838709677419355,0.52658882,computed
0.5148217772470559,0.5129629629629628,0.8,0.5217391304347826,0.631578947368421,0.55625,at_risk_original_gt005,canopy_only,Logistic Regression L2,955,111,93,45,0.4838709677419355,0.47337266427280356,computed
0.6022468922588138,0.6101851851851852,0.5777777777777777,0.5652173913043478,0.5714285714285714,0.5805555555555555,at_risk_original_gt005,canopy_only,Random Forest,955,111,93,45,0.4838709677419355,0.4222649605296663,computed
0.5478006976966443,0.5634259259259259,0.3111111111111111,0.5,0.3835616438356164,0.5097222222222222,at_risk_original_gt005,oisst_only,Logistic Regression L2,955,111,93,45,0.4838709677419355,0.4582377949784969,computed
0.41214966424758925,0.3412037037037037,0.4666666666666667,0.3684210526315789,0.4117647058823529,0.35833333333333334,at_risk_original_gt005,oisst_only,Random Forest,955,111,93,45,0.4838709677419355,0.3001082283729343,computed
0.7640798578978016,0.7138888888888888,0.5555555555555556,0.78125,0.6493506493506493,0.7048611111111112,at_risk_original_gt005,habitat_only,Logistic Regression L2,955,111,93,45,0.4838709677419355,0.4972393463684192,computed
0.6613764027896,0.7148148148148149,0.6666666666666666,0.6976744186046512,0.6818181818181818,0.6979166666666666,at_risk_original_gt005,habitat_only,Random Forest,955,111,93,45,0.4838709677419355,0.5220273986949994,computed
0.6322763606259341,0.6324074074074074,0.37777777777777777,0.7083333333333334,0.4927536231884058,0.6159722222222221,at_risk_original_gt005,oisst_plus_habitat,Logistic Regression L2,955,111,93,45,0.4838709677419355,0.5024385843401324,computed
0.45007064567453825,0.3833333333333333,0.26666666666666666,0.42857142857142855,0.3287671232876712,0.4666666666666667,at_risk_original_gt005,oisst_plus_habitat,Random Forest,955,111,93,45,0.4838709677419355,0.40726087801087796,computed
0.6058912091442493,0.5837962962962963,0.4666666666666667,0.6,0.525,0.5875,at_risk_original_gt005,canopy_plus_oisst_plus_habitat,Logistic Regression L2,955,111,93,45,0.4838709677419355,0.4287869466919942,computed
0.452994086532616,0.3856481481481482,0.4,0.4186046511627907,0.4090909090909091,0.4395833333333333,at_risk_original_gt005,canopy_plus_oisst_plus_habitat,Random Forest,955,111,93,45,0.4838709677419355,0.3460328745328746,computed
0.5485558939134398,0.5134259259259258,0.3333333333333333,0.5172413793103449,0.40540540540540543,0.5208333333333334,at_risk_original_gt005,crw_composite_only,Logistic Regression L2,955,111,93,45,0.4838709677419355,0.5571412140156593,computed
0.40582575845945906,0.3662037037037037,0.35555555555555557,0.45714285714285713,0.4,0.47986111111111107,at_risk_original_gt005,crw_composite_only,Random Forest,955,111,93,45,0.4838709677419355,0.2956166213960332,computed
0.6285726632910266,0.5814814814814815,0.3111111111111111,0.5833333333333334,0.4057971014492754,0.5513888888888889,at_risk_original_gt005,crw_plus_habitat,Logistic Regression L2,955,111,93,45,0.4838709677419355,0.5869827492021853,computed
0.4620895071223253,0.44629629629629636,0.24444444444444444,0.4782608695652174,0.3235294117647059,0.49722222222222223,at_risk_original_gt005,crw_plus_habitat,Random Forest,955,111,93,45,0.4838709677419355,0.4410510785510784,computed
0.6121293018672436,0.5652777777777778,0.3111111111111111,0.5384615384615384,0.39436619718309857,0.5305555555555556,at_risk_original_gt005,canopy_plus_crw_plus_habitat,Logistic Regression L2,955,111,93,45,0.4838709677419355,0.5505103309552041,computed
0.4984167291818145,0.45,0.06666666666666667,0.5,0.11764705882352941,0.5020833333333333,at_risk_original_gt005,canopy_plus_crw_plus_habitat,Random Forest,955,111,93,45,0.4838709677419355,0.5173819698819697,computed
0.0823146873651066,0.22325375773651637,0.9615384615384616,0.12626262626262627,0.22321428571428573,0.4836427939876216,new_decline_transition,naive_persistence_baseline,current_low_canopy_score,1400,200,200,26,0.13,0.52658882,computed
0.4067732255388687,0.7754199823165341,0.3076923076923077,0.47058823529411764,0.37209302325581395,0.6279840848806366,new_decline_transition,canopy_only,Logistic Regression L2,1400,200,200,26,0.13,0.548846987620538,computed
0.40419357062603156,0.8136604774535809,0.6538461538461539,0.3617021276595745,0.4657534246575342,0.7407161803713528,new_decline_transition,canopy_only,Random Forest,1400,200,200,26,0.13,0.45594456659897814,computed
0.14848136933183123,0.5562555260831122,0.6923076923076923,0.1592920353982301,0.2589928057553957,0.5731653404067197,new_decline_transition,oisst_only,Logistic Regression L2,1400,200,200,26,0.13,0.4142347704995961,computed
0.09683414530415085,0.33366489832007074,0.11538461538461539,0.041666666666666664,0.061224489795918366,0.3594164456233422,new_decline_transition,oisst_only,Random Forest,1400,200,200,26,0.13,0.40273032523032504,computed
0.11696585320921689,0.4593280282935456,0.07692307692307693,0.0625,0.06896551724137931,0.45225464190981435,new_decline_transition,habitat_only,Logistic Regression L2,1400,200,200,26,0.13,0.5329948023914419,computed
0.1410490679857781,0.48850574712643674,0.5384615384615384,0.125,0.2028985507246377,0.4876215738284704,new_decline_transition,habitat_only,Random Forest,1400,200,200,26,0.13,0.48092238649811736,computed
0.1379966753225455,0.5473032714412025,0.38461538461538464,0.1388888888888889,0.20408163265306123,0.5141467727674625,new_decline_transition,oisst_plus_habitat,Logistic Regression L2,1400,200,200,26,0.13,0.4652486505150323,computed
0.09697351785061747,0.35013262599469497,0.11538461538461539,0.05084745762711865,0.07058823529411765,0.3967727674624226,new_decline_transition,oisst_plus_habitat,Random Forest,1400,200,200,26,0.13,0.41962764087764076,computed
0.40758429455495876,0.756631299734748,0.34615384615384615,0.5294117647058824,0.4186046511627907,0.6500884173297966,new_decline_transition,canopy_plus_oisst_plus_habitat,Logistic Regression L2,1400,200,200,26,0.13,0.5106350909591901,computed
0.16202052507287823,0.6286472148541113,0.0,0.0,0.0,0.45977011494252873,new_decline_transition,canopy_plus_oisst_plus_habitat,Random Forest,1400,200,200,26,0.13,0.5265056147556147,computed
0.1952283043774929,0.42175066312997345,0.3076923076923077,0.08333333333333333,0.13114754098360656,0.400972590627763,new_decline_transition,crw_composite_only,Logistic Regression L2,1400,200,200,26,0.13,0.54427529318473,computed
0.1218945617293995,0.36427939876215737,0.07692307692307693,0.15384615384615385,0.10256410256410256,0.5068523430592397,new_decline_transition,crw_composite_only,Random Forest,1400,200,200,26,0.13,0.4302081843165435,computed
0.12332037697435756,0.3983200707338639,0.3076923076923077,0.08421052631578947,0.1322314049586777,0.40384615384615385,new_decline_transition,crw_plus_habitat,Logistic Regression L2,1400,200,200,26,0.13,0.5386110549887094,computed
0.10428412126153477,0.35676392572944293,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.4916003536693192,new_decline_transition,crw_plus_habitat,Random Forest,1400,200,200,26,0.13,0.43303890091390085,computed
0.4054650160489513,0.7155172413793104,0.11538461538461539,0.75,0.2,0.5548187444739169,new_decline_transition,canopy_plus_crw_plus_habitat,Logistic Regression L2,1400,200,200,26,0.13,0.6787379431037939,computed
0.26589507081159397,0.6993810786914235,0.07692307692307693,0.5,0.13333333333333333,0.5327144120247569,new_decline_transition,canopy_plus_crw_plus_habitat,Random Forest,1400,200,200,26,0.13,0.535835800365212,computed
0.09907694881832191,0.1073706591070163,0.9705882352941176,0.16666666666666666,0.28448275862068967,0.4883061658398299,actionable_decline_drop,naive_persistence_baseline,current_low_canopy_score,1400,200,200,34,0.17,0.52658882,computed
0.5787946996161872,0.8740255138199858,0.7647058823529411,0.5306122448979592,0.6265060240963856,0.8130758327427356,actionable_decline_drop,canopy_only,Logistic Regression L2,1400,200,200,34,0.17,0.38201988157605277,computed
0.5183124531933297,0.8662296243798724,0.5294117647058824,0.5454545454545454,0.5373134328358209,0.719525159461375,actionable_decline_drop,canopy_only,Random Forest,1400,200,200,34,0.17,0.5314400419897626,computed
0.5432299710943455,0.8695074415308293,1.0,0.18181818181818182,0.3076923076923077,0.5391566265060241,actionable_decline_drop,oisst_only,Logistic Regression L2,1400,200,200,34,0.17,0.28657180053866704,computed
0.11568539494592439,0.2585931963146705,0.14705882352941177,0.054945054945054944,0.08,0.31449326718639264,actionable_decline_drop,oisst_only,Random Forest,1400,200,200,34,0.17,0.46433157583157597,computed
0.15186072882810706,0.42841956059532244,1.0,0.17,0.2905982905982906,0.5,actionable_decline_drop,habitat_only,Logistic Regression L2,1400,200,200,34,0.17,0.4155240660698091,computed
0.1709003561834761,0.4709425939050319,1.0,0.17,0.2905982905982906,0.5,actionable_decline_drop,habitat_only,Random Forest,1400,200,200,34,0.17,0.0,computed
0.47717543163982945,0.8469170800850461,1.0,0.17258883248730963,0.2943722943722944,0.5090361445783133,actionable_decline_drop,oisst_plus_habitat,Logistic Regression L2,1400,200,200,34,0.17,0.23406198590994456,computed
0.12355014962066539,0.33167965981573355,0.6176470588235294,0.12727272727272726,0.21105527638190955,0.37508858965272857,actionable_decline_drop,oisst_plus_habitat,Random Forest,1400,200,200,34,0.17,0.2620726310726311,computed
0.619002009691166,0.857016300496102,0.7941176470588235,0.43548387096774194,0.5625,0.7916371367824238,actionable_decline_drop,canopy_plus_oisst_plus_habitat,Logistic Regression L2,1400,200,200,34,0.17,0.24995647907697666,computed
0.2959693926242829,0.7794117647058824,0.9411764705882353,0.38095238095238093,0.5423728813559322,0.8139617292700212,actionable_decline_drop,canopy_plus_oisst_plus_habitat,Random Forest,1400,200,200,34,0.17,0.2060277777777778,computed
0.18392716733284187,0.5689227498228207,0.6764705882352942,0.23958333333333334,0.35384615384615387,0.618355776045358,actionable_decline_drop,crw_composite_only,Logistic Regression L2,1400,200,200,34,0.17,0.5557908118361249,computed
0.13219828066698702,0.3233522324592488,0.29411764705882354,0.08928571428571429,0.136986301369863,0.33982990786676115,actionable_decline_drop,crw_composite_only,Random Forest,1400,200,200,34,0.17,0.28731481481481486,computed
0.1745073777069543,0.5407512402551382,0.7352941176470589,0.22321428571428573,0.3424657534246575,0.6055988660524451,actionable_decline_drop,crw_plus_habitat,Logistic Regression L2,1400,200,200,34,0.17,0.5361050356218767,computed
0.1237726513417545,0.3322111977321049,0.5588235294117647,0.13768115942028986,0.22093023255813954,0.4209780297661233,actionable_decline_drop,crw_plus_habitat,Random Forest,1400,200,200,34,0.17,0.28179520479520476,computed
0.4728775193141226,0.7684266477675408,0.47058823529411764,0.38095238095238093,0.42105263157894735,0.6569808646350106,actionable_decline_drop,canopy_plus_crw_plus_habitat,Logistic Regression L2,1400,200,200,34,0.17,0.4624910318398866,computed
0.3575207617987667,0.8128986534372785,0.5882352941176471,0.3508771929824561,0.43956043956043955,0.6826718639262934,actionable_decline_drop,canopy_plus_crw_plus_habitat,Random Forest,1400,200,200,34,0.17,0.3463287638287638,computed
